Left_distance_reading, Front_distance_reading, Left_motor_speed, Right_motor_speed
687.068,1347.88,115,175.913
678.477,1303.37,115,173.706
679.878,1252.34,115,174.066
671.828,1217.05,115,171.998
666.939,1202.29,115,170.741
669.413,1161.95,116.123,170.329
670.068,1155.91,116.96,169.71
659.341,1113.21,123.163,161.529
655.147,1080.14,128.069,156.317
658.587,1059.42,130.903,154.502
649.461,1036.86,134.673,149.552
644.234,1023.24,137.016,146.672
639.494,989.146,142.48,141.425
629.595,1001.97,141.278,140.805
627.369,969.817,146.471,136.46
625.082,960.909,148.074,134.908
617.64,953.084,150.017,132.406
590.842,941.894,154.512,125.503
590.842,953.291,152.551,126.777
586.841,922.97,158.2,122.57
581.547,940.039,155.775,123.361
572.093,935.097,157.626,120.86
565.649,944.005,156.665,120.473
562.137,951.031,155.719,120.483
553.672,958.923,155.051,119.522
551.211,974.901,152.25,120.655
547.882,983.978,150.802,120.873
537.565,992.556,149.97,119.495
538.145,988.495,150.72,119.212
538.145,987.803,150.855,119.142
529.141,996.816,149.781,118.07
522.632,994.604,150.728,116.421
515.886,993.314,151.517,114.815
516.516,1010.72,147.894,116.633
505.973,1005.31,149.775,113.77
497.671,1000.01,151.512,111.437
502.867,1022.17,146.433,114.661
495.991,1023.72,146.552,113.253
497.127,1035.89,143.872,114.636
487.115,1057.4,139.756,114.298
482.615,2635.88,115,123.38
483.841,2624.97,115,123.695
486.783,2617.02,115,124.451
479.006,2600.97,115,122.453
477.18,2589.73,115,121.984
470.135,2573.42,115,120.173
464.96,2565.86,115,118.844
470.418,2553.04,115,120.246
467.982,2541.79,115,119.62
463.834,2545.52,115,118.555
462.692,2532.86,115,118.261
462.262,2510.48,115,118.151
460.507,2510,115,117.7
455.092,2492.77,115,116.308
453.121,2482.09,115,115.802
452.942,2465.42,115,115.756
443.745,2456.2,115,115
443.745,2444.53,115,115
442.449,2445.62,115,115
443.623,2433.65,115,115
434.958,2420.61,115,115
433.215,2408.45,115,115
433.215,2396.79,115,115
432.103,2391.76,115,115
429.478,2385.21,115,115
425.339,2371.07,115,115
420.595,2355.73,115,115
417.296,2346.95,115,115
414.507,2335.48,115,115
415.687,2324.97,115,115
410.91,2307.99,115,115
409.417,2302.06,115,115
408.119,2282.84,115,115
401.509,2274.08,115,115
396.986,2263.57,116.394,115
398.144,2256.96,115.859,115
392.296,2240.48,118.563,115
394.473,2231.51,117.556,115
386.957,2215.48,121.032,115
385.195,2203.37,121.847,115
384.78,2195.83,122.039,115
378.01,2182.94,125.17,115
375.135,2172.86,126.5,115
369.584,2158.97,129.067,115
368.802,2144.91,129.429,115
371.552,2131.11,128.157,115
364.247,2121.14,131.536,115
361.837,2114.69,132.651,115
360.526,2098.27,133.257,115
353.483,2084.54,136.514,115
351.525,2076.93,137.42,115
349.384,2058.09,138.41,115
351.729,2050.26,137.325,115
349.653,2037.34,138.286,115
341.61,2021.95,142.005,115
342.938,2017.01,141.391,115
334.594,1997.66,145.25,115
334.547,1992.59,145.272,115
331.358,1970.52,146.747,115
333.599,1969.38,145.711,115
329.188,1953.01,147.751,115
324.336,1944.77,149.995,115
324.233,1938.87,150.042,115
326.92,1933.89,148.799,115
326.92,1922.22,148.799,115
316.692,1921.35,153.53,115
311.255,2035.54,156.045,115
309.597,2022.86,156.811,115
314.02,2079.74,154.766,115
313.12,2071.35,155.182,115
313.12,2058.06,155.182,115
283.149,2051.68,169.044,115
283.149,2037.54,169.044,115
278.676,2037.54,171.113,115
285.478,2026.42,167.966,115
285.478,2012.28,167.966,115
313.016,2015.26,155.23,115
302.554,1978.04,160.069,115
1092.84,1963.68,115,280.174
3777.04,1951.44,115,300
3762.81,1935.29,115,300
3758.9,1923.44,115,300
3757.9,1898.2,115,300
4291.43,1885.21,115,300
1945.56,1854,115,300
1307.88,1843.08,115,300
1050.01,1615.39,115,269.17
809.511,1589.64,115,207.374
808.596,1569.84,115,207.139
678.79,1534.76,115,173.786
678.8,1519.68,115,173.789
654.085,1508.96,115,167.438
639.5,1493.88,115,163.691
666.841,1482.34,115,170.716
666.841,1468.45,115,170.716
679.549,1477.38,115,173.981
685.098,1461.63,115,175.407
713.715,1428.08,115,182.76
716.586,1411.1,115,183.498
721.819,1398.06,115,184.842
721.363,1382.27,115,184.725
719.897,1390.21,115,184.349
719.183,1375.26,115,184.165
722.763,1373.85,115,185.085
729.984,1355.45,115,186.94
727.717,1337.42,115,186.358
726.82,1325.97,115,186.127
727.196,1311.06,115,186.224
732.449,1285.41,115,187.574
732.894,1267.61,115,187.688
740.856,1252.62,115,189.734
746.077,1236.58,115,191.075
734.517,1234.18,115,188.105
734.517,1230.79,115,188.105
739.563,1228.56,115,189.402
746.043,1238.98,115,191.067
736.936,1740.69,115,188.727
743.577,1743.68,115,190.433
745.031,1761.01,115,190.807
731.905,1751.71,115,187.434
741.173,1756.4,115,189.815
749.794,1775.63,115,192.03
748.744,2092.93,115,191.761
748.37,2078.62,115,191.665
747.381,2063.08,115,191.41
747.197,2069.39,115,191.363
740.487,2061.85,115,189.639
738.926,2060.25,115,189.238
730.629,2070.12,115,187.106
727.808,2099.48,115,186.381
735.597,2187.88,115,188.383
730.858,2172.12,115,187.165
733.294,2131.55,115,187.791
733.544,2123.58,115,187.855
733.92,2125.9,115,187.952
736.186,2108.64,115,188.534
733.697,2101.2,115,187.894
733.643,2117.26,115,187.88
731.084,2116.35,115,187.223
730.757,2125.33,115,187.139
730.395,2143.62,115,187.046
730.395,2967.85,115,187.046
730.235,2983.27,115,187.005
734.794,3010.95,115,188.176
735.026,2999.25,115,188.236
737.968,2992.02,115,188.992
726.759,2975.79,115,186.112
730.87,2957.41,115,187.168
736.313,2940.36,115,188.567
731.587,2927.49,115,187.352
716.672,2910.5,115,183.52
720.274,2900.6,115,184.445
720.274,2885.64,115,184.445
721.325,2884.77,115,184.715
710.797,2867.78,115,182.01
713.022,2853.32,115,182.582
720.703,2838.66,115,184.556
